concept,variant,hits,export_file
hashtag,هاشتاغ,11632,hashtag__هاشتاغ.csv
hashtag,علامة التصنيف,491,hashtag__علامة التصنيف.csv
hashtag,وسم,81463,hashtag__وسم.csv
hashtag,hashtag,73,hashtag__hashtag.csv
