,concept,variant,hits,effective_hits,share,is_dominant,dominance_ratio
3,hashtag,وسم,81463,13034.08,0.5166087463852671,True,0.5166087463852671
2,hashtag,هاشتاغ,11632,11632.0,0.46103698442494034,False,0.5166087463852671
1,hashtag,علامة التصنيف,491,491.0,0.01946089746841865,False,0.5166087463852671
0,hashtag,hashtag,73,73.0,0.0028933717213738518,False,0.5166087463852671
